observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,cloud,moonAlt,sunAlt,note,target,fieldId,proposalId,block_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,scripted_id
0,199.68134610137426,-34.544668655603914,2025-05-01 00:01:49.143049984,60796.043692129635,30.0,r,142.96342934107278,0.0,2,1.3680456183164553,0.7835372516839596,1.186572727264916,1.027362781811761,21.001784971272635,0,109.14304958750758,34.0,44.31146509234653,23.83918949969507,46.96775556950129,109.71457438126137,260.86953842788137,0.125,4.386101172160013,-24.976837568879823,"blob_long, gr, a",,-1,0,1,148.88384480314565,43.83296776895414,0.0,307.5784682260712,273.4888792944518,38.10909513223633,14.977406712008918,83.70914656531792,29.111486741034643,126.2299370650697,154.34902917441627,24.58597509230022,109.71457438126137,0
1,200.6589499700843,-31.506185267702865,2025-05-01 00:02:27.680935424,60796.043692129635,30.0,r,146.2570742582288,0.0,2,1.3881429487738917,0.7835372516839596,1.1970010441868826,1.0359348583216175,20.986301006004553,0,4.537885631147544,34.0,3.1470378903800933,23.82052333896908,46.08643312153512,105.46218874489814,257.5758935107253,0.125,4.2807796866439745,-25.115136614707097,"blob_long, gr, a",,-1,1,1,149.04485896525298,43.83296776895414,0.0,307.49384913945045,273.41194203874915,38.109521029666155,14.977542277245211,83.71534520231262,29.110714728507006,126.28183437459225,157.03911684341202,24.58864955773023,105.57566300590373,0
2,201.4425259006705,-28.389985203655364,2025-05-01 00:03:06.207826944,60796.043692129635,30.0,r,149.50644420599622,0.0,2,1.4190281180426254,0.7835372516839596,1.212910107279715,1.0490121081839257,20.93781213507028,0,4.526891486419774,34.0,3.1892709504397923,23.781433441727863,44.80593206214491,101.33969772117155,254.3265235629579,0.125,4.175368799522573,-25.253413468563707,"blob_long, gr, a",,-1,2,1,149.20582719221733,43.83296776895414,0.0,307.4094116461837,273.3349668309341,38.109946806024915,14.977677802980468,83.72154844608309,29.10994127792792,126.07487351277946,159.5570609991098,24.591326271869985,101.49571718612665,0
3,201.95260850780693,-25.20376973728801,2025-05-01 00:03:44.731521024,60796.043692129635,30.0,r,152.53406272392758,0.0,2,1.4509790030057115,0.7835372516839596,1.229223037889202,1.062421337144924,20.91865621453144,0,4.52369404975121,34.0,3.218567550037115,23.754627100926836,43.56601256524918,97.22290203960608,251.29890504502654,0.125,4.069847243779644,-25.391696105322918,"blob_long, gr, a",,-1,3,1,149.36678206071886,43.83296776895414,0.0,307.32513839062705,273.257937977294,38.110372547480836,14.977813316642784,83.7277575485853,29.109166233683,125.52245456109632,161.7298875092162,24.594005774767826,97.43284096094398,0
4,202.1615301810677,-21.990899019991325,2025-05-01 00:04:23.250903808,60796.043692129635,30.0,r,155.3528610659638,0.0,2,1.482463415140264,0.7835372516839596,1.2451578333884186,1.07551973904528,20.907483153200516,0,4.519382800564651,34.0,3.2185675345671556,23.731841388522636,42.41944015944626,93.1185080715846,248.48010670299035,0.125,3.9642181055976264,-25.529980521345024,"blob_long, gr, a",,-1,4,1,149.52771891657125,43.83296776895414,0.0,307.2410315814577,273.1808575748499,38.11079824172304,14.97794881431387,83.73397232848076,29.108389618668138,124.59852196669435,163.34290001922088,24.59668798806276,93.39292379530353,0
5,202.13331622316903,-18.80173773887481,2025-05-01 00:05:01.756376576,60796.043692129635,30.0,r,157.9850882880129,0.0,2,1.5138063415587704,0.7835372516839596,1.2608871146232534,1.0884492082203143,20.861115572106208,0,4.505473044279696,34.0,3.1892708826685943,23.694118441115396,41.34461630915254,89.0780054999345,245.84787948094126,0.125,3.858507791681962,-25.66823224493247,"blob_long, gr, a",,-1,5,1,149.6885976555007,43.83296776895414,0.0,307.1571118819814,273.1037447270129,38.11122378267137,14.978084262229295,83.7401912326386,29.10761162758602,123.3721901382119,164.2480199645612,24.59937224123136,89.42663789296118,0
6,199.44421630538514,-16.98877901444751,2025-05-01 00:05:40.206594304,60796.043692129635,30.0,r,159.6375136802321,0.0,2,1.465224641619074,0.7835372516839596,1.2364499540059326,1.0683618621928765,20.907539242594986,0,4.450217723959138,34.0,3.1359964445439106,23.741655468246087,43.038465820199924,85.31443101382013,244.19545408872202,0.125,3.7528301296712385,-25.80630278202921,"blob_long, gr, a",,-1,6,1,149.8492455341541,43.83296776895414,0.0,307.07346879324666,273.0266822498755,38.111648713400605,14.978219514954247,83.7464075664349,29.106833100264474,120.29559171087142,161.9491384041713,24.60205564395855,85.74615786091204,0
7,201.97296203388214,-15.658427678183207,2025-05-01 00:06:18.984180224,60796.043692129635,30.0,r,160.47188553415603,0.0,2,1.5425467379500744,0.7835372516839596,1.2751962104325691,1.1002112849755719,20.846139189990595,0,4.777585844654428,34.0,2.7674605364370475,23.671716952805806,40.411939137405874,85.06109085816637,243.3610822347981,0.125,3.6461322396466187,-25.945566274637912,"blob_long, gr, a",,-1,7,1,150.0112611816622,43.83296776895414,0.0,306.98927144346914,272.9489024950057,38.1120772624595,14.97835591839843,83.7526832571525,29.106046271881723,121.94499025036671,164.423141909247,24.60476493109853,85.58444944786535,0
8,201.80556257156405,-12.529815957127543,2025-05-01 00:06:57.439272960,60796.043692129635,30.0,r,162.82412456178028,0.0,2,1.5810491792213575,0.6662519288362521,1.146149159566152,0.9941346091633769,20.837897261978597,0,4.455093221268965,34.0,3.1328205115041388,23.77911037811584,39.23417322127443,81.2638362839124,241.00884320717384,0.125,3.5402022151636263,-26.083688853143368,"blob_long, gr, a",,-1,8,1,150.1719294289488,43.83296776895414,0.0,306.9059307086457,272.87170879167536,38.112502247929775,14.978491186619435,83.75891313374959,29.105264328331174,120.435001641678,163.97692358270896,24.60745469913575,81.8791809533453,0
9,201.5821263489723,-9.456377815843709,2025-05-01 00:07:35.863098880,60796.043692129635,30.0,r,165.02744827557714,0.0,2,1.6235826194746548,0.6662519288362521,1.1645510973777329,1.0092610020444963,20.819451242147345,0,4.423826131613464,34.0,3.081252591787309,23.748394447866783,38.018933652306686,77.61781488242401,238.80551949337698,0.125,3.434239478000179,-26.221716303044502,"blob_long, gr, a",,-1,9,1,150.332467041198,43.83296776895414,0.0,306.82281309084277,272.7945172337077,38.11292688828541,14.978626344035552,83.7651442882413,29.104481370686695,118.8227051698614,162.9350707701879,24.610145276592338,78.33143946048091,0
